# Lines start with `#` will be ignored
# can simply delete the file in /data/csv/monopoly.csv to get a fresh new copy
# TileType, Data
Normal,0
Normal,0
Ladder,19
Normal,0
Snake,3
Normal,0
Normal,0
Ladder,18
Normal,0
Normal,0
Snake,7
Normal,0
Ladder,17
Normal,0
Normal,0
Snake,10
Normal,0
Normal,0
Ladder,19
Normal,0
Snake,11
Normal,0
Normal,0
Normal,0
Ladder,20
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Snake,17
Normal,0
Ladder,20
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Snake,19
Normal,0
Normal,0
Normal,0
Ladder,20
Normal,0
Normal,0
Normal,0
Normal,0
Snake,16
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Ladder,20
Normal,0
Normal,0
Normal,0
Snake,20
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Snake,19
Ladder,13
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Snake,20
Normal,0
Normal,0
Ladder,5
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
Normal,0
